Id,Atoms,Actions,Solve,Time,Size
1,10,8,1,0.093333,4.0
2,16,9,1,0.168141,5.0
3,22,16,1,0.165468,6.0
4,28,19,1,0.322304,7.0
5,34,22,1,0.26197600000000004,8.0
6,40,29,1,0.877296,9.0
7,46,30,1,1.567896,10.0
8,52,35,1,3.430657,11.0
9,58,40,1,17.108893,12.0
10,64,45,1,111.930015,13.0
11,2,0,0,,
12,18,15,1,0.014483000000000001,5.0
13,31,37,1,0.861467,12.0
14,48,84,1,0.283496,9.0
15,2,0,0,,
16,2,0,0,,
17,72,123,1,4950.847239,17.0
18,76,126,1,109.58003799999999,13.0
19,73,78,0,,
20,2,0,0,,
31,23,38,1,0.13852799999999998,5.0
32,33,69,1,0.9759959999999999,11.0
33,36,52,0,,
34,58,138,0,,
35,2,0,0,,
36,2,0,0,,
37,75,129,0,,
38,78,126,0,,
39,2,0,0,,
40,130,383,0,,
41,22,47,1,0.185666,5.0
42,56,188,1,0.409179,7.0
43,55,137,1,1.207177,10.0
44,86,296,0,,
45,2,0,0,,
46,58,84,1,464.745896,13.0
47,104,308,0,,
48,132,468,0,,
49,111,273,0,,
50,2,0,0,,
51,69,201,1,0.15720499999999998,4.0
52,57,167,1,0.53984,8.0
53,99,350,1,0.959332,8.0
54,65,162,1,3774.472627,18.0
55,92,317,0,,
56,2,0,0,,
57,2,0,0,,
58,182,979,0,,
59,122,368,0,,
60,144,464,0,,
61,59,235,1,0.5110600000000001,7.0
62,56,222,1,0.45658999999999994,8.0
63,80,332,1,496.159614,16.0
64,102,424,1,5866.179214,18.0
65,130,717,1,479.59400800000003,13.0
66,90,218,0,,
67,2,0,0,,
68,158,882,0,,
69,176,964,0,,
70,254,1698,0,,
71,91,413,1,0.257726,4.0
72,78,323,1,0.304219,8.0
73,114,637,1,12.026709,12.0
74,124,580,0,,
75,177,1130,1,1069.557714,14.0
76,153,861,0,,
77,140,555,0,,
78,159,756,1,119.721246,12.0
79,173,692,0,,
80,198,1006,0,,
81,96,643,1,0.6110720000000001,5.0
82,106,485,1,1.054816,8.0
83,2,0,0,,
84,184,1343,0,,
85,145,883,0,,
86,218,1457,0,,
87,262,1952,0,,
88,218,1407,0,,
89,262,2002,0,,
90,206,1074,0,,
91,136,383,1,8.121369999999999,12.0
92,107,783,1,22.834671,13.0
93,158,1174,1,2007.089736,16.0
94,2,0,0,,
95,160,1026,0,,
96,320,2877,0,,
97,137,591,0,,
98,349,3059,0,,
99,306,2575,0,,
100,2,0,0,,
101,150,1269,1,1.439398,4.0
102,128,883,1,1.948046,7.0
103,210,1622,1,2732.429638,14.0
104,182,1568,0,,
105,161,1024,0,,
106,2,0,0,,
107,209,1605,0,,
108,368,4128,0,,
109,2,0,0,,
110,382,4197,0,,
