Id,Atoms,Actions,Solve,Time,Size
01,10,8,1,0.009072,4
02,16,9,1,0.115324,5
03,22,16,1,0.020858,6
04,28,19,1,0.069444,7
05,34,22,1,0.0729,8
06,40,29,1,0.851761,9
07,46,30,1,1.534313,10
08,52,35,1,2.238994,11
09,58,40,1,12.601538,12
10,64,45,1,145.707886,13
100,2,0,0
101,150,1269,1,1.544307,4
102,128,883,1,2.901425,7
103,210,1622,1,6946.655349,14
104,182,1568,0
105,161,1024,0
106,2,0,0
107,209,1605,0
108,368,4128,0
109,2,0,0
11,2,0,0
110,382,4197,0
12,18,15,1,0.031569,5
13,31,37,1,0.91901,12
14,48,84,1,0.471915,9
15,2,0,0
16,2,0,0
17,72,123,1,6993.368471,17
18,76,126,1,447.859733,13
19,73,78,0
20,2,0,0
31,23,38,1,0.01786,5
32,33,69,1,1.101816,11
33,36,52,0
34,58,138,0
35,2,0,0
36,2,0,0
37,75,129,0
38,78,126,0
39,2,0,0
40,130,383,0
41,22,47,1,0.014308,5
42,56,188,1,0.720343,7
43,55,137,1,0.34188,10
44,86,296,0
45,2,0,0
46,58,84,1,370.768913,13
47,104,308,0
48,132,468,0
49,111,273,0
50,2,0,0
51,69,201,1,0.021728,4
52,57,167,1,0.154313,8
53,99,350,1,0.820224,8
54,65,162,1,5306.775153,18
55,92,317,0
56,2,0,0
57,2,0,0
58,182,979,0
59,122,368,0
60,144,464,0
61,59,235,1,0.148841,7
62,56,222,1,0.177756,8
63,80,332,1,333.162038,16
64,102,424,1,9273.752928,18
65,130,717,1,634.452367,13
66,90,218,0
67,2,0,0
68,158,882,0
69,176,964,0
70,254,1698,0
71,91,413,1,0.08299,4
72,78,323,1,0.525951,8
73,114,637,1,25.378972,12
74,124,580,0
75,177,1130,1,1111.885682,14
76,153,861,0
77,140,555,0
78,159,756,1,103.511455,12
79,173,692,0
80,198,1006,0
81,96,643,1,0.768976,5
82,106,485,1,0.678001,8
83,2,0,0
84,184,1343,0
85,145,883,0
86,218,1457,0
87,262,1952,0
88,218,1407,0
89,262,2002,0
90,206,1074,0
91,136,383,1,8.804646,12
92,107,783,1,13.628448,13
93,158,1174,1,1867.734636,16
94,2,0,0
95,160,1026,0
96,320,2877,0
97,137,591,0
98,349,3059,0
99,306,2575,0
