Domain (# inst),#at,#acts,%solve,time,size
doors(15),48.0,69.0,0.6666666666666666,479.3375043,14.0
faults-1(20),43.65,35.5,1.0,10.21969815,9.8
islands-1(30),100.8,333.4,1.0,0.3173121,5.6
islands-2(30),388.96666666666664,1588.6,1.0,45.21131990000001,10.4
miner-1(30),587.5333333333333,1209.0333333333333,1.0,87.68739636666668,19.066666666666666
miner-2(21),1410.6190476190477,2920.5714285714284,1.0,448.4043232380952,22.80952380952381
spiky-tireworld(11),243.45454545454547,462.54545454545456,0.45454545454545453,2193.7441468,23.0
tireworld(15),63.93333333333333,304.0,0.8,0.853876,5.583333333333333
ttire_truck-1(24),64.08333333333333,111.75,1.0,27.134432291666666,11.708333333333334
ttire_truck-2(25),80.8,150.4,0.96,574.1604005,15.833333333333334
ttire_truck-3(25),101.68,198.72,0.76,616.1636680526316,16.894736842105264
